24.0,3.0,2.0,13.0,1.0,8.0,7.0,8.0,0.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0
24.0,3.0,2.0,17.0,1.0,16.0,11.0,16.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0
24.0,3.0,2.0,17.0,1.0,16.0,7.0,17.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0
24.0,3.0,2.0,13.0,1.0,8.0,7.0,8.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0
24.0,3.0,2.0,17.0,1.0,16.0,7.0,17.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0
24.0,15.0,10.0,13.0,5.0,8.0,7.0,8.0,5.0,15.0,10.0,15.0,5.0,5.0,5.0,5.0
24.0,8.0,7.0,13.0,6.0,8.0,11.0,8.0,1.0,3.0,2.0,13.0,1.0,8.0,11.0,8.0
24.0,17.0,7.0,17.0,7.0,8.0,7.0,7.0,2.0,3.0,2.0,17.0,5.0,8.0,7.0,7.0
24.0,8.0,13.0,13.0,8.0,8.0,7.0,8.0,5.0,3.0,10.0,13.0,5.0,8.0,7.0,8.0
24.0,19.0,7.0,17.0,9.0,8.0,7.0,7.0,4.0,3.0,2.0,17.0,5.0,8.0,7.0,7.0
24.0,15.0,10.0,13.0,5.0,8.0,11.0,13.0,10.0,15.0,10.0,10.0,5.0,5.0,10.0,10.0
24.0,13.0,11.0,13.0,11.0,16.0,11.0,11.0,10.0,15.0,10.0,13.0,1.0,16.0,11.0,11.0
24.0,13.0,12.0,13.0,7.0,8.0,7.0,7.0,2.0,3.0,2.0,13.0,1.0,8.0,7.0,7.0
24.0,13.0,13.0,13.0,11.0,8.0,11.0,13.0,10.0,3.0,10.0,13.0,5.0,8.0,11.0,13.0
24.0,19.0,14.0,13.0,9.0,16.0,11.0,11.0,4.0,3.0,10.0,13.0,1.0,16.0,11.0,11.0
24.0,15.0,10.0,17.0,5.0,16.0,11.0,16.0,15.0,15.0,10.0,15.0,5.0,15.0,5.0,15.0
24.0,16.0,17.0,17.0,16.0,16.0,11.0,16.0,1.0,15.0,2.0,17.0,1.0,16.0,11.0,16.0
24.0,17.0,17.0,17.0,7.0,16.0,7.0,17.0,2.0,15.0,2.0,17.0,1.0,16.0,7.0,17.0
24.0,18.0,13.0,13.0,8.0,8.0,7.0,8.0,3.0,3.0,2.0,13.0,1.0,8.0,7.0,8.0
24.0,19.0,17.0,17.0,9.0,16.0,7.0,17.0,4.0,15.0,2.0,17.0,1.0,16.0,7.0,17.0
24.0,15.0,10.0,13.0,5.0,8.0,11.0,13.0,20.0,15.0,10.0,10.0,5.0,5.0,10.0,10.0
24.0,23.0,11.0,13.0,21.0,16.0,11.0,11.0,20.0,15.0,10.0,13.0,1.0,16.0,11.0,11.0
24.0,23.0,22.0,17.0,21.0,8.0,7.0,7.0,20.0,15.0,2.0,17.0,5.0,8.0,7.0,7.0
24.0,23.0,13.0,13.0,21.0,8.0,11.0,13.0,20.0,3.0,10.0,13.0,5.0,8.0,11.0,13.0
24.0,19.0,14.0,13.0,9.0,8.0,11.0,7.0,4.0,3.0,2.0,13.0,1.0,8.0,11.0,7.0
